Date;Time;Participant;ID;Age;Edu_level;Handedness_R_1;Room_R_1;Gender_M_1;Gut_P_1;Notes
8;9;1;45880;24;M;1;0;1;1;
8;12;2;47203;25;B;1;1;0;1;
8;12;3;46339;;;;;;;No Show
8;14;4;43336;26;M;1;1;0;0;
8;14;5;47542;24;M;1;0;1;0;
8;15.mar;6;47617;20;B;1;0;0;1;
8;15.mar;7;47284;22;M;1;1;0;0;
9;9;8;11111;20;B;1;0;1;1;Missing Data
9;9;9;11112;20;B;1;1;0;0;Missing Data
9;10.mar;10;11113;22;B;1;0;1;1;
9;10.mar;11;11114;20;B;1;1;1;0;
9;12;12;11115;23;B;0;1;0;1;
9;12;13;11116;22;B;1;0;0;0;
9;14;14;11117;23;B;1;0;0;0;
9;14;15;11118;24;B;1;1;0;1;
9;15.mar;16;11119;20;B;1;1;0;0;
9;15.mar;17;11120;19;B;1;0;0;1;
10;9;18;11121;23;B;1;0;1;0;
10;9;19;11122;18;B;1;1;0;0;
10;10.mar;20;11123;22;B;1;1;0;0;
10;10.mar;21;11124;18;B;0;0;0;0;
10;12;22;11125;21;B;0;0;1;0;
10;12;23;11126;18;B;1;1;1;0;
10;14;24;11127;19;B;1;1;0;0;
10;14;25;11128;21;B;1;0;0;0;
10;15.mar;26;11129;22;B;1;0;0;1;
10;15.mar;27;11130;20;B;1;1;0;1;
11;9;28;11131;22;B;1;0;0;1;
11;9;29;11132;21;B;1;1;0;1;
11;10.mar;30;11133;21;B;1;0;0;1;
11;10.mar;31;11134;21;B;1;1;0;1;
11;12;32;11135;21;B;1;0;1;1;
11;12;33;11136;22;B;1;1;0;1;
11;14;34;11137;23;B;1;0;0;1;
11;14;35;11138;22;B;1;1;1;1;
11;15.mar;36;11139;21;B;1;0;0;1;
11;15.mar;37;11140;20;B;1;1;1;0;
17;14;38;11141;20;B;1;0;0;1;Added 
17;14;39;11142;23;B;1;1;0;0;Added 