"","Subject","Reject","xj","Confidence_Positive_1","Confidence_Positive_2","Confidence_Negative_1","Confidence_Negative_2","RT_Positive_1","RT_Positive_2","RT_Negative_1","RT_Negative_2","Accuracy_Positive_1","Accuracy_Positive_2","Accuracy_Negative_1","Accuracy_Negative_2","MetadPrime_Positive_1","MetadPrime_Positive_2","MetadPrime_Negative_1","MetadPrime_Negative_2","dPrime_Positive_1","dPrime_Positive_2","dPrime_Negative_1","dPrime_Negative_2","HR_Positive_1","HR_Positive_2","HR_Negative_1","HR_Negative_2","FAR_Positive_1","FAR_Positive_2","FAR_Negative_1","FAR_Negative_2","Mratio_Positive_1","Mratio_Positive_2","Mratio_Negative_1","Mratio_Negative_2"
"1",11113,0,0.991879260540009,3.96212121212121,NA,NA,NA,1.79521623335313,NA,NA,NA,0.712121212121212,NA,NA,NA,1.77291016038168,NA,NA,NA,1.10779637078802,NA,NA,NA,0.639277389277389,NA,NA,NA,0.278846153846154,NA,NA,NA,1.60039354445668,NA,NA,NA
"2",11113,0,1.99396140117198,NA,3.78030303030303,NA,NA,NA,1.65825689693156,NA,NA,NA,0.75,NA,NA,NA,1.5172629278363,NA,NA,NA,1.39546018261224,NA,NA,NA,0.656674208144796,NA,NA,NA,0.286130536130536,NA,NA,NA,1.08728500228223,NA,NA
"3",11113,0,0.98041592432186,NA,NA,3.29770992366412,NA,NA,NA,1.92686645785579,NA,NA,NA,0.702290076335878,NA,NA,NA,1.25333387731192,NA,NA,NA,1.07094475647559,NA,NA,NA,0.631549609810479,NA,NA,NA,0.3515625,NA,NA,NA,1.17030674993598,NA
"4",11113,0,2.00502459427342,NA,NA,NA,3.38518518518519,NA,NA,NA,1.84230851652683,NA,NA,NA,0.711111111111111,NA,NA,NA,0.971165237528382,NA,NA,NA,1.09439636363196,NA,NA,NA,0.649253731343284,NA,NA,NA,0.382967032967033,NA,NA,NA,0.887398085192265
"5",11114,0,0.986799670057371,3.63829787234043,NA,NA,NA,1.58182861079695,NA,NA,NA,0.730496453900709,NA,NA,NA,1.24173341930293,NA,NA,NA,1.23184485569687,NA,NA,NA,0.64010989010989,NA,NA,NA,0.313487881981033,NA,NA,NA,1.00802744238475,NA,NA,NA
"6",11114,0,1.99247453190386,NA,4.06944444444444,NA,NA,NA,1.48920981935225,NA,NA,NA,0.791666666666667,NA,NA,NA,1.83016289255357,NA,NA,NA,1.60264154695194,NA,NA,NA,0.725961538461538,NA,NA,NA,0.272869022869023,NA,NA,NA,1.14196645908397,NA,NA
"7",11114,0,1.00414152314886,NA,NA,3.34722222222222,NA,NA,NA,1.53673264924146,NA,NA,NA,0.833333333333333,NA,NA,NA,1.21288931745385,NA,NA,NA,1.90852862374362,NA,NA,NA,0.707799145299145,NA,NA,NA,0.327962577962578,NA,NA,NA,0.635510152881409,NA
"8",11114,0,2.00751118616201,NA,NA,NA,3.36054421768708,NA,NA,NA,1.57548025686992,NA,NA,NA,0.707482993197279,NA,NA,NA,1.53442874553909,NA,NA,NA,1.11377902209678,NA,NA,NA,0.645641025641026,NA,NA,NA,0.323804573804574,NA,NA,NA,1.37767790117865
"9",11115,0,0.992719163512811,3.55405405405405,NA,NA,NA,1.72189837243059,NA,NA,NA,0.716216216216216,NA,NA,NA,1.49961546825108,NA,NA,NA,1.20838894726361,NA,NA,NA,0.626012145748988,NA,NA,NA,0.284303534303534,NA,NA,NA,1.24100395956696,NA,NA,NA
"10",11115,0,2.00002613097429,NA,3.46896551724138,NA,NA,NA,1.63015136087779,NA,NA,NA,0.724137931034483,NA,NA,NA,1.44834708472644,NA,NA,NA,1.18664768246567,NA,NA,NA,0.672813487881981,NA,NA,NA,0.343555093555094,NA,NA,NA,1.22053673228182,NA,NA
"11",11115,0,1.00344202491455,NA,NA,3.1156462585034,NA,NA,NA,1.7650595761661,NA,NA,NA,0.700680272108844,NA,NA,NA,0.749075354666633,NA,NA,NA,1.04853712560023,NA,NA,NA,0.603430353430353,NA,NA,NA,0.375897435897436,NA,NA,NA,0.714400412134026,NA
"12",11115,0,1.99707233493216,NA,NA,NA,3.31756756756757,NA,NA,NA,1.81133432524803,NA,NA,NA,0.689189189189189,NA,NA,NA,1.00281795190213,NA,NA,NA,0.984040232480712,NA,NA,NA,0.639487179487179,NA,NA,NA,0.388205128205128,NA,NA,NA,1.01908226798216
"13",11116,0,1.00100342863239,4.72108843537415,NA,NA,NA,1.36286775130429,NA,NA,NA,0.768707482993197,NA,NA,NA,1.55051020288665,NA,NA,NA,1.61458398123927,NA,NA,NA,0.671282051282051,NA,NA,NA,0.209459459459459,NA,NA,NA,0.96031561126759,NA,NA,NA
"14",11116,0,1.98263605474494,NA,5.06164383561644,NA,NA,NA,1.1312142546376,NA,NA,NA,0.746575342465753,NA,NA,NA,2.0139091114819,NA,NA,NA,1.49587574186009,NA,NA,NA,0.653326403326403,NA,NA,NA,0.174116424116424,NA,NA,NA,1.34630775479896,NA,NA
"15",11116,0,0.987600721269846,NA,NA,4.83108108108108,NA,NA,NA,1.26370097023027,NA,NA,NA,0.75,NA,NA,NA,1.45730729198724,NA,NA,NA,1.44237076945897,NA,NA,NA,0.65956340956341,NA,NA,NA,0.232287449392713,NA,NA,NA,1.01035553606918,NA
"16",11116,0,1.98921885268763,NA,NA,NA,3.86577181208054,NA,NA,NA,1.25176697716233,NA,NA,NA,0.718120805369127,NA,NA,NA,1.43601235602513,NA,NA,NA,1.23269995904414,NA,NA,NA,0.655897435897436,NA,NA,NA,0.306174089068826,NA,NA,NA,1.16493259003484
"17",11117,0,1.00854069453664,3.02083333333333,NA,NA,NA,1.60212104626407,NA,NA,NA,0.701388888888889,NA,NA,NA,0.784173510626909,NA,NA,NA,1.10423377321253,NA,NA,NA,0.564278187565859,NA,NA,NA,0.338777660695469,NA,NA,NA,0.710151717553002,NA,NA,NA
"18",11117,0,2.00349763451144,NA,2.8936170212766,NA,NA,NA,1.42854040244129,NA,NA,NA,0.709219858156028,NA,NA,NA,1.2766458314655,NA,NA,NA,1.11840439468856,NA,NA,NA,0.596153846153846,NA,NA,NA,0.338777660695469,NA,NA,NA,1.14148856847169,NA,NA
"19",11117,0,0.999452323429286,NA,NA,3.02083333333333,NA,NA,NA,1.41274748266733,NA,NA,NA,0.736111111111111,NA,NA,NA,0.718446857116048,NA,NA,NA,1.28390028862043,NA,NA,NA,0.591675447839831,NA,NA,NA,0.341938883034773,NA,NA,NA,0.559581506043611,NA
"20",11117,0,1.99452594915405,NA,NA,NA,2.6875,NA,NA,NA,1.62726790939632,NA,NA,NA,0.729166666666667,NA,NA,NA,1.08964239650243,NA,NA,NA,1.20168822366135,NA,NA,NA,0.626923076923077,NA,NA,NA,0.386133603238866,NA,NA,NA,0.906759652834469
"21",11118,0,0.996419160701335,4.20805369127517,NA,NA,NA,1.30899856472388,NA,NA,NA,0.791946308724832,NA,NA,NA,2.02395644870605,NA,NA,NA,1.61958172568369,NA,NA,NA,0.734871794871795,NA,NA,NA,0.254554655870445,NA,NA,NA,1.24967849205119,NA,NA,NA
"22",11118,0,2.01814889152534,NA,4.28571428571429,NA,NA,NA,1.33955946165952,NA,NA,NA,0.73469387755102,NA,NA,NA,2.62958533498083,NA,NA,NA,1.31900296079784,NA,NA,NA,0.728717948717949,NA,NA,NA,0.222972972972973,NA,NA,NA,1.99361594563082,NA,NA
"23",11118,0,1.01668858969584,NA,NA,3.55479452054795,NA,NA,NA,1.4566901044891,NA,NA,NA,0.746575342465753,NA,NA,NA,1.70161031815235,NA,NA,NA,1.31399740332302,NA,NA,NA,0.68970893970894,NA,NA,NA,0.322765072765073,NA,NA,NA,1.29498758053028,NA
"24",11118,0,1.99600130733103,NA,NA,NA,3.54794520547945,NA,NA,NA,1.33705479878699,NA,NA,NA,0.794520547945205,NA,NA,NA,1.58581443444618,NA,NA,NA,1.68251652079195,NA,NA,NA,0.66754478398314,NA,NA,NA,0.27025641025641,NA,NA,NA,0.942525327299457
"25",11119,0,0.984703475246206,5,NA,NA,NA,0.851063747875742,NA,NA,NA,0.808219178082192,NA,NA,NA,3.09562817465606,NA,NA,NA,1.72063725979523,NA,NA,NA,0.795738045738046,NA,NA,NA,0.179313929313929,NA,NA,NA,1.79911724974761,NA,NA,NA
"26",11119,0,1.99474174867384,NA,5.06122448979592,NA,NA,NA,0.860575211117975,NA,NA,NA,0.843537414965986,NA,NA,NA,2.92979654023857,NA,NA,NA,2.04608236834016,NA,NA,NA,0.840512820512821,NA,NA,NA,0.211538461538462,NA,NA,NA,1.43190547241522,NA,NA
"27",11119,0,0.991241589281708,NA,NA,4.53741496598639,NA,NA,NA,0.951050081697758,NA,NA,NA,0.768707482993197,NA,NA,NA,2.56334855460935,NA,NA,NA,1.60911305561977,NA,NA,NA,0.731288981288981,NA,NA,NA,0.191282051282051,NA,NA,NA,1.59301954928334,NA
"28",11119,0,1.98566271603107,NA,NA,NA,4.33333333333333,NA,NA,NA,0.95588906147168,NA,NA,NA,0.775510204081633,NA,NA,NA,2.31831900846987,NA,NA,NA,1.81864444291417,NA,NA,NA,0.693846153846154,NA,NA,NA,0.176195426195426,NA,NA,NA,1.27475110239527
"29",11120,0,1.01677769926377,4.1027397260274,NA,NA,NA,1.45847667833732,NA,NA,NA,0.773972602739726,NA,NA,NA,1.29384231571017,NA,NA,NA,1.48721485376434,NA,NA,NA,0.716410256410256,NA,NA,NA,0.327186512118019,NA,NA,NA,0.869976730285661,NA,NA,NA
"30",11120,0,1.99059258217923,NA,4.44827586206897,NA,NA,NA,1.28030583975487,NA,NA,NA,0.848275862068966,NA,NA,NA,1.96980334484562,NA,NA,NA,2.03082008795751,NA,NA,NA,0.783264033264033,NA,NA,NA,0.249209694415174,NA,NA,NA,0.969954628933546,NA,NA
"31",11120,0,1.00501490825787,NA,NA,4.03378378378378,NA,NA,NA,1.4559646386333,NA,NA,NA,0.743243243243243,NA,NA,NA,1.47883598068625,NA,NA,NA,1.29106242933696,NA,NA,NA,0.691794871794872,NA,NA,NA,0.323589743589744,NA,NA,NA,1.14544110887474,NA
"32",11120,0,1.99301094268449,NA,NA,NA,4.01379310344828,NA,NA,NA,1.51434594255988,NA,NA,NA,0.731034482758621,NA,NA,NA,1.48553116535839,NA,NA,NA,1.23529695728111,NA,NA,NA,0.689673340358272,NA,NA,NA,0.324844074844075,NA,NA,NA,1.20257008373764
"33",11121,0,1.01371019968763,3.71034482758621,NA,NA,NA,1.62910846920022,NA,NA,NA,0.737931034482759,NA,NA,NA,1.83219416390334,NA,NA,NA,1.25489133654405,NA,NA,NA,0.722972972972973,NA,NA,NA,0.347207586933614,NA,NA,NA,1.46004208535631,NA,NA,NA
"34",11121,0,2.00741823781282,NA,4.52702702702703,NA,NA,NA,1.51733420719756,NA,NA,NA,0.837837837837838,NA,NA,NA,1.29980738430067,NA,NA,NA,1.94684880864977,NA,NA,NA,0.737348178137652,NA,NA,NA,0.259355509355509,NA,NA,NA,0.667646803658139,NA,NA
"35",11121,0,0.991977070886642,NA,NA,4.18666666666667,NA,NA,NA,1.67222167151249,NA,NA,NA,0.74,NA,NA,NA,1.754388190347,NA,NA,NA,1.26960378043665,NA,NA,NA,0.700910931174089,NA,NA,NA,0.308198380566802,NA,NA,NA,1.38183913546919,NA
"36",11121,0,1.9870809252467,NA,NA,NA,4.57823129251701,NA,NA,NA,1.55360005440798,NA,NA,NA,0.795918367346939,NA,NA,NA,2.05046774603785,NA,NA,NA,1.67201552225543,NA,NA,NA,0.773846153846154,NA,NA,NA,0.285343035343035,NA,NA,NA,1.22634492248727
"37",11122,0,0.99801519931294,4.60689655172414,NA,NA,NA,1.29029784790509,NA,NA,NA,0.786206896551724,NA,NA,NA,1.71943579131356,NA,NA,NA,1.61980098173485,NA,NA,NA,0.690789473684211,NA,NA,NA,0.21397616468039,NA,NA,NA,1.06151052549184,NA,NA,NA
"38",11122,0,2.00237635264173,NA,4.83783783783784,NA,NA,NA,1.37741735759209,NA,NA,NA,0.77027027027027,NA,NA,NA,1.86552972841661,NA,NA,NA,1.46844072981943,NA,NA,NA,0.713333333333333,NA,NA,NA,0.241538461538462,NA,NA,NA,1.2704154076726,NA,NA
"39",11122,0,1.01802217870019,NA,NA,4.5472972972973,NA,NA,NA,1.41838062745524,NA,NA,NA,0.763513513513513,NA,NA,NA,2.05387627185741,NA,NA,NA,1.41455768317778,NA,NA,NA,0.7667004048583,NA,NA,NA,0.29989604989605,NA,NA,NA,1.45195653474053,NA
"40",11122,0,1.99489479589276,NA,NA,NA,4.13605442176871,NA,NA,NA,1.36731163754575,NA,NA,NA,0.73469387755102,NA,NA,NA,2.05782326408361,NA,NA,NA,1.23531334178712,NA,NA,NA,0.706340956340956,NA,NA,NA,0.28974358974359,NA,NA,NA,1.66583100374077
"41",11123,0,1.01698810433969,4.28859060402685,NA,NA,NA,1.12495528832733,NA,NA,NA,0.751677852348993,NA,NA,NA,1.4874275470087,NA,NA,NA,1.46092975667935,NA,NA,NA,0.644230769230769,NA,NA,NA,0.250769230769231,NA,NA,NA,1.01813762106508,NA,NA,NA
"42",11123,0,2.00812392323278,NA,4.43150684931507,NA,NA,NA,1.12717683686787,NA,NA,NA,0.726027397260274,NA,NA,NA,2.04608046399723,NA,NA,NA,1.27528524351378,NA,NA,NA,0.634358974358974,NA,NA,NA,0.222866174920969,NA,NA,NA,1.604410052107,NA,NA
"43",11123,0,0.98427514128387,NA,NA,4.56375838926174,NA,NA,NA,1.0707485415569,NA,NA,NA,0.74496644295302,NA,NA,NA,1.54040400035896,NA,NA,NA,1.30640739946176,NA,NA,NA,0.678461538461538,NA,NA,NA,0.279858299595142,NA,NA,NA,1.17911457099341,NA
"44",11123,0,1.98970968717709,NA,NA,NA,4.22448979591837,NA,NA,NA,1.08563179396879,NA,NA,NA,0.680272108843537,NA,NA,NA,1.25857449480333,NA,NA,NA,0.922545933631539,NA,NA,NA,0.647523709167545,NA,NA,NA,0.347672064777328,NA,NA,NA,1.36424046643297
"45",11124,0,0.994912754390389,4.97101449275362,NA,NA,NA,1.21809008051878,NA,NA,NA,0.804347826086957,NA,NA,NA,1.92427644436025,NA,NA,NA,1.71276637732794,NA,NA,NA,0.779821627647715,NA,NA,NA,0.26273022751896,NA,NA,NA,1.12349031942248,NA,NA,NA
"46",11124,0,1.99798562534153,NA,4.76595744680851,NA,NA,NA,1.14578358899598,NA,NA,NA,0.787234042553192,NA,NA,NA,2.36257552424734,NA,NA,NA,1.69999405962455,NA,NA,NA,0.716346153846154,NA,NA,NA,0.180390032502709,NA,NA,NA,1.38975516465577,NA,NA
"47",11124,0,0.999839615728706,NA,NA,5.00689655172414,NA,NA,NA,1.22348404283548,NA,NA,NA,0.875862068965517,NA,NA,NA,2.08008176438306,NA,NA,NA,2.25983391179055,NA,NA,NA,0.807692307692308,NA,NA,NA,0.203222453222453,NA,NA,NA,0.92045780600528,NA
"48",11124,0,1.98575092012063,NA,NA,NA,4.79194630872483,NA,NA,NA,1.25775145491752,NA,NA,NA,0.865771812080537,NA,NA,NA,2.29739108817229,NA,NA,NA,2.1725907678539,NA,NA,NA,0.793333333333333,NA,NA,NA,0.209008097165992,NA,NA,NA,1.05744308691953
"49",11125,0,0.990937368366867,4.85616438356164,NA,NA,NA,1.7566316960565,NA,NA,NA,0.76027397260274,NA,NA,NA,1.42442797854376,NA,NA,NA,1.40339003564618,NA,NA,NA,0.688568376068376,NA,NA,NA,0.260627530364372,NA,NA,NA,1.01499080253045,NA,NA,NA
"50",11125,0,1.98678783550859,NA,4.73972602739726,NA,NA,NA,1.69552150992422,NA,NA,NA,0.684931506849315,NA,NA,NA,1.68178605352101,NA,NA,NA,1.01907777207585,NA,NA,NA,0.615890688259109,NA,NA,NA,0.258012820512821,NA,NA,NA,1.65030196870573,NA,NA
"51",11125,0,1.00615200245753,NA,NA,5.2,NA,NA,NA,1.64094958630994,NA,NA,NA,0.806666666666667,NA,NA,NA,2.06304746200445,NA,NA,NA,1.7025948495409,NA,NA,NA,0.754554655870445,NA,NA,NA,0.22419028340081,NA,NA,NA,1.21170780151293,NA
"52",11125,0,1.9993210268952,NA,NA,NA,4.54421768707483,NA,NA,NA,1.72856634615346,NA,NA,NA,0.727891156462585,NA,NA,NA,1.09823335530909,NA,NA,NA,1.22540556560092,NA,NA,NA,0.624341412012645,NA,NA,NA,0.278846153846154,NA,NA,NA,0.896220309535259
"53",11126,0,0.999218271225691,3.85416666666667,NA,NA,NA,1.89687507518647,NA,NA,NA,0.659722222222222,NA,NA,NA,1.82380655259193,NA,NA,NA,0.840188794000846,NA,NA,NA,0.656444906444906,NA,NA,NA,0.314636752136752,NA,NA,NA,2.17071039939398,NA,NA,NA
"54",11126,0,1.98011079462245,NA,3.74657534246575,NA,NA,NA,1.86345672952757,NA,NA,NA,0.719178082191781,NA,NA,NA,1.48722021328832,NA,NA,NA,1.16214675987992,NA,NA,NA,0.660602910602911,NA,NA,NA,0.308212058212058,NA,NA,NA,1.27971807402533,NA,NA
"55",11126,0,0.996135955741629,NA,NA,4.76027397260274,NA,NA,NA,1.80195416071183,NA,NA,NA,0.73972602739726,NA,NA,NA,1.50995803703612,NA,NA,NA,1.30919311939085,NA,NA,NA,0.665128205128205,NA,NA,NA,0.23972602739726,NA,NA,NA,1.15335011670294,NA
"56",11126,0,1.99237790105864,NA,NA,NA,4.35211267605634,NA,NA,NA,1.86809455295497,NA,NA,NA,0.732394366197183,NA,NA,NA,1.73368509743769,NA,NA,NA,1.23037045497619,NA,NA,NA,0.700320512820513,NA,NA,NA,0.284722222222222,NA,NA,NA,1.40907568970457
"57",11127,0,1.00301265678369,4.6056338028169,NA,NA,NA,1.42316810465854,NA,NA,NA,0.788732394366197,NA,NA,NA,2.44047518062035,NA,NA,NA,1.67730059487878,NA,NA,NA,0.74868282402529,NA,NA,NA,0.197724810400867,NA,NA,NA,1.45500167833466,NA,NA,NA
"58",11127,0,2.00083932946436,NA,4.71527777777778,NA,NA,NA,1.30618745378524,NA,NA,NA,0.833333333333333,NA,NA,NA,2.47590718002006,NA,NA,NA,1.92233143250555,NA,NA,NA,0.766559829059829,NA,NA,NA,0.186590436590437,NA,NA,NA,1.2879710221421,NA,NA
"59",11127,0,1.00656630144455,NA,NA,3.97222222222222,NA,NA,NA,1.49591956871518,NA,NA,NA,0.729166666666667,NA,NA,NA,1.91407339812994,NA,NA,NA,1.22517126869165,NA,NA,NA,0.690748440748441,NA,NA,NA,0.278311965811966,NA,NA,NA,1.56229047076329,NA
"60",11127,0,2.01401627544314,NA,NA,NA,4.29931972789116,NA,NA,NA,1.53679926985569,NA,NA,NA,0.802721088435374,NA,NA,NA,1.85977081615826,NA,NA,NA,1.67412850468268,NA,NA,NA,0.743421052631579,NA,NA,NA,0.260800842992624,NA,NA,NA,1.11088892576425
"61",11128,0,0.980351810632274,3.6,NA,NA,NA,1.49582781153185,NA,NA,NA,0.7,NA,NA,NA,1.21893582055321,NA,NA,NA,1.04062837237041,NA,NA,NA,0.623076923076923,NA,NA,NA,0.336969001148106,NA,NA,NA,1.17134594146866,NA,NA,NA
"62",11128,0,1.98718865831383,NA,3.72388059701493,NA,NA,NA,1.39717402441602,NA,NA,NA,0.753731343283582,NA,NA,NA,1.11396132231014,NA,NA,NA,1.35295134592193,NA,NA,NA,0.673913043478261,NA,NA,NA,0.345005740528129,NA,NA,NA,0.823356527688772,NA,NA
"63",11128,0,0.997775959437713,NA,NA,3.68571428571429,NA,NA,NA,1.40296834744186,NA,NA,NA,0.778571428571429,NA,NA,NA,0.320809132428912,NA,NA,NA,1.5584378189814,NA,NA,NA,0.642307692307692,NA,NA,NA,0.34241452991453,NA,NA,NA,0.205853020583519,NA
"64",11128,0,2.00751742187887,NA,NA,NA,2.65648854961832,NA,NA,NA,1.41630520318358,NA,NA,NA,0.648854961832061,NA,NA,NA,1.14883962966936,NA,NA,NA,0.795245708038363,NA,NA,NA,0.549704142011834,NA,NA,NA,0.36368778280543,NA,NA,NA,1.44463480664763
"65",11129,0,1.01930392470211,4.76510067114094,NA,NA,NA,1.23858546915289,NA,NA,NA,0.771812080536913,NA,NA,NA,1.57850050299416,NA,NA,NA,1.48962863366494,NA,NA,NA,0.684716599190283,NA,NA,NA,0.246666666666667,NA,NA,NA,1.05966041959771,NA,NA,NA
"66",11129,0,1.99893286162056,NA,4.28378378378378,NA,NA,NA,1.24722803140867,NA,NA,NA,0.77027027027027,NA,NA,NA,1.19339433112907,NA,NA,NA,1.45720999266379,NA,NA,NA,0.695897435897436,NA,NA,NA,0.312307692307692,NA,NA,NA,0.818958377404163,NA,NA
"67",11129,0,1.00985111917369,NA,NA,4.22818791946309,NA,NA,NA,1.27417490565858,NA,NA,NA,0.718120805369127,NA,NA,NA,1.01771060502534,NA,NA,NA,1.13800958926907,NA,NA,NA,0.664473684210526,NA,NA,NA,0.349230769230769,NA,NA,NA,0.894290008293345,NA
"68",11129,0,2.0117446066346,NA,NA,NA,4.21621621621622,NA,NA,NA,1.29547903576167,NA,NA,NA,0.648648648648649,NA,NA,NA,1.31306439800284,NA,NA,NA,0.757065514404423,NA,NA,NA,0.606666666666667,NA,NA,NA,0.346153846153846,NA,NA,NA,1.73441316903177
