,Word,List,ValMn,ValSD,AroMn,AroSD
1,preach,5,5.41,2.44,5.89,2.44
2,bolt,2,5.42,1.53,5.73,1.53
3,dragon,1,5.43,1.85,5.5,1.85
4,erupt,6,5.43,1.57,6.57,1.57
5,intense,3,5.44,1.94,6.32,1.94
6,vodka,4,5.52,2.34,5.86,2.34
7,body,2,5.55,2.37,5.52,2.37
8,gorilla,5,5.56,1.95,5.52,1.95
9,fuck,1,5.56,2.45,6.19,2.45
10,meteor,6,5.57,2.16,5.83,2.16
11,alien,3,5.6,1.82,5.45,1.82
12,react,4,5.63,1,5.87,1
13,zealous,1,5.67,2.02,5.47,2.02
14,mercy,5,5.71,2.41,5.43,2.41
15,motorcycle,3,5.72,2.68,6.46,2.68
16,dare,2,5.76,2.2,6.57,2.2
17,hire,4,5.77,1.67,5.63,1.67
18,infatuated,6,5.77,1.77,6.27,1.77
19,soldier,6,5.79,2.02,5.48,2.02
20,seal,5,5.81,1.44,5.42,1.44
21,conquest,3,5.85,1.71,6.5,1.71
22,teach,4,5.89,1.95,5.59,1.95
23,nudist,1,5.89,1.86,6.18,1.86
24,lotion,2,5.9,2.04,5.52,2.04
25,crush,6,5.9,2.07,6.7,2.07
26,crazy,5,5.93,1.95,6.28,1.95
27,alcohol,2,5.97,2.15,5.94,2.15
28,night,1,6.06,1.95,5.94,1.95
29,race,4,6.07,2,5.43,2
30,freeway,3,6.07,2,5.87,2
31,curious,3,6.08,1.63,5.82,1.63
32,ass,6,6.09,2.02,6,2.02
33,outspoken,5,6.14,1.81,5.58,1.81
34,rare,2,6.16,1.89,5.44,1.89
35,ignite,4,6.16,2.03,6.27,2.03
36,drunk,1,6.17,2.5,6.11,2.5
37,spice,2,6.21,1.74,5.62,1.74
38,galaxy,6,6.21,1.26,5.96,1.26
39,gym,4,6.21,1.87,6.14,1.87
40,comet,5,6.23,2.1,5.97,2.1
41,voyage,3,6.25,1.91,5.55,1.91
42,chest,1,6.26,1.56,5.44,1.56
43,erect,5,6.26,2.29,6.4,2.29
44,duet,1,6.27,1.26,5.43,1.26
45,sandwich,3,6.28,1.56,5.59,1.56
46,reveal,4,6.29,1.98,6.32,1.98
47,important,2,6.31,1.91,5.49,1.91
48,cockpit,6,6.31,1.65,5.53,1.65
49,engage,4,6.31,1.81,5.96,1.81
50,boost,2,6.33,1.94,5.52,1.94
51,naked,3,6.34,2.42,5.8,2.42
52,children,6,6.37,2.13,5.74,2.13
53,wild,5,6.37,1.4,6.43,1.4
54,extreme,1,6.39,1.93,7.11,1.93
55,new,3,6.4,1.63,5.82,1.63
56,teenager,4,6.41,2,6.33,2
57,try,1,6.42,1.69,5.71,1.69
58,thin,6,6.43,1.71,5.57,1.71
59,husband,5,6.44,2.36,5.49,2.36
60,sports,2,6.45,1.95,6.23,1.95
61,control,6,6.46,1.35,5.93,1.35
62,bikini,2,6.47,2.32,6.27,2.32
63,animal,3,6.48,1.55,5.55,1.55
64,elephant,5,6.48,1.72,5.59,1.72
65,cheerleader,1,6.48,2.13,5.67,2.13
66,reunion,4,6.48,2.45,6.34,2.45
67,windsurfers,6,6.5,1.57,6.3,1.57
68,surfer,5,6.55,1.86,5.45,1.86
69,band,3,6.55,1.62,5.66,1.62
70,zoom,2,6.56,1.83,5.88,1.83
71,astonished,1,6.56,1.61,6.58,1.61
72,limousine,4,6.57,1.97,5.49,1.97
73,royalty,4,6.57,1.79,5.59,1.79
74,interested,2,6.58,1.45,5.42,1.45
75,mountain,1,6.59,1.66,5.49,1.66
76,belief,5,6.61,1.79,5.7,1.79
77,athletics,6,6.61,2.08,6.1,2.08
78,jaguar,3,6.62,1.78,5.5,1.78
79,answer,6,6.63,1.68,5.41,1.68
80,gem,4,6.65,1.74,5.71,1.74
81,bridesmaid,3,6.66,1.5,5.78,1.5
82,clothes,2,6.66,1.65,5.86,1.65
83,mingle,1,6.66,1.33,5.88,1.33
84,fair,5,6.67,1.95,5.4,1.95
85,raise,3,6.67,1.99,5.63,1.99
86,revive,5,6.68,1.95,5.54,1.95
87,marry,4,6.68,2.36,6.14,2.36
88,thong,6,6.69,1.99,5.78,1.99
89,attain,1,6.7,1.49,5.53,1.49
90,brain,2,6.7,1.82,5.53,1.82
91,sizzle,4,6.7,1.42,5.9,1.42
92,sexual,3,6.7,1.72,6.33,1.72
93,invent,6,6.73,2.07,6.2,2.07
94,curiosity,1,6.74,1.53,6.08,1.53
95,salary,5,6.75,1.76,5.85,1.76
96,restaurant,2,6.76,1.85,5.41,1.85
97,sing,1,6.77,2.24,5.73,2.24
98,unite,4,6.77,1.59,5.81,1.59
99,carnival,3,6.77,2.01,6.2,2.01
100,zest,2,6.79,2.04,5.59,2.04
101,juice,6,6.79,1.88,5.69,1.88
102,vigorous,5,6.79,1.54,5.9,1.54
103,bold,6,6.8,1.61,5.6,1.61
104,penthouse,2,6.81,1.64,5.52,1.64
105,outgoing,1,6.81,1.91,5.77,1.91
106,bravery,5,6.81,1.72,6,1.72
107,casino,4,6.81,1.66,6.51,1.66
108,powerful,3,6.84,1.8,5.83,1.8
109,tickle,6,6.86,2.14,6.7,2.14
110,conquer,3,6.86,1.72,6.79,1.72
111,charming,5,6.87,1.68,5.65,1.68
112,mate,4,6.87,1.74,6.3,1.74
113,mail,1,6.88,1.74,5.63,1.74
114,perfect,2,6.88,2.18,5.83,2.18
115,stereo,3,6.89,1.47,6.04,1.47
116,firefighter,1,6.9,1.61,5.93,1.61
117,extravagant,6,6.91,1.96,5.86,1.96
118,special,2,6.92,1.76,5.66,1.76
119,aid,4,6.93,1.16,5.41,1.16
120,know,5,6.93,1.72,5.77,1.72
121,climax,1,6.93,2.16,7.18,2.16
122,cartoon,2,6.94,1.36,5.52,1.36
123,entertainment,4,6.96,1.92,5.69,1.92
124,imaginative,3,6.96,1.69,5.89,1.69
125,reef,5,6.97,1.72,5.52,1.72
126,toddler,6,6.97,1.54,5.68,1.54
127,applaud,6,6.98,1.5,5.78,1.5
128,imagination,4,6.98,1.69,5.83,1.69
129,game,1,6.98,1.97,5.89,1.97
130,sparkle,5,6.99,1.65,5.51,1.65
131,self,3,7,1.58,5.46,1.58
132,spirit,2,7,1.32,5.56,1.32
133,potential,4,7,1.83,5.93,1.83
134,waterskiing,5,7,2.19,6.77,2.19
135,attract,2,7.02,1.77,6.42,1.77
136,prince,3,7.03,1.71,6.07,1.71
137,confidence,6,7.04,1.93,5.52,1.93
138,doughnut,1,7.04,1.96,5.56,1.96
139,fashion,5,7.04,1.73,6,1.73
140,hope,4,7.05,1.96,5.44,1.96
141,earn,1,7.06,1.81,5.54,1.81
142,worthwhile,6,7.06,1.82,5.71,1.82
143,rhythm,2,7.06,1.63,5.73,1.63
144,favorite,3,7.06,1.96,5.75,1.96
145,snow,4,7.08,1.83,5.75,1.83
146,strengthen,5,7.08,1.47,5.85,1.47
147,explore,2,7.08,1.83,6.36,1.83
148,honeymoon,3,7.09,1.85,6.12,1.85
149,model,1,7.1,1.78,6,1.78
150,song,6,7.1,1.97,6.07,1.97
151,strong,5,7.11,1.48,5.92,1.48
152,playground,4,7.13,1.53,5.7,1.53
153,actor,2,7.13,1.31,6.07,1.31
154,dancing,3,7.13,1.8,6.38,1.8
155,charisma,1,7.15,1.63,5.75,1.63
156,brilliant,6,7.15,1.9,5.91,1.9
157,inspired,1,7.15,1.85,6.02,1.85
158,rich,3,7.17,2.2,5.8,2.2
159,prize,5,7.17,1.71,6.03,1.71
160,pastry,6,7.18,1.83,5.79,1.83
161,champ,4,7.18,1.97,6,1.97
162,midnight,2,7.18,1.7,6.5,1.7
163,cupcake,6,7.2,1.85,5.93,1.85
164,glamorous,3,7.21,1.65,5.73,1.65
165,musician,5,7.21,1.52,6.1,1.52
166,adore,2,7.22,2.01,5.74,2.01
167,frosting,4,7.23,1.59,5.47,1.59
168,gourmet,1,7.23,1.67,5.8,1.67
169,supper,3,7.23,1.55,6.3,1.55
170,energy,1,7.23,1.55,6.9,1.55
171,alive,4,7.25,2.22,5.5,2.22
172,suite,5,7.25,1.78,5.59,1.78
173,energetic,2,7.25,1.75,6.33,1.75
174,king,6,7.26,1.67,5.51,1.67
175,star,4,7.27,1.66,5.83,1.66
176,life,1,7.27,1.88,6.02,1.88
177,bargain,6,7.28,1.3,5.94,1.3
178,dazzle,2,7.29,1.09,6.33,1.09
179,fly,3,7.29,1.76,6.64,1.76
180,heaven,5,7.3,2.39,5.61,2.39
181,cookout,6,7.31,1.69,6.14,1.69
182,great,3,7.32,1.81,5.75,1.81
183,eager,5,7.32,1.28,6.57,1.28
184,impressed,1,7.33,1.84,5.42,1.84
185,embrace,4,7.33,1.54,5.56,1.54
186,wonderful,2,7.33,1.82,5.74,1.82
187,brownie,1,7.33,2.14,6.1,2.14
188,fascinate,4,7.34,1.68,5.83,1.68
189,best,2,7.35,1.83,5.99,1.83
190,treat,3,7.36,1.38,5.62,1.38
191,cherish,5,7.37,1.64,5.52,1.64
192,summer,6,7.37,1.98,6.51,1.98
193,prosper,5,7.39,1.74,5.72,1.74
194,genius,4,7.39,1.45,6.11,1.45
195,stunning,2,7.39,1.56,6.3,1.56
196,silly,3,7.41,1.8,5.88,1.8
197,festival,1,7.41,1.51,6.18,1.51
198,luck,6,7.41,1.46,6.45,1.46
199,congratulate,4,7.42,1.49,6.11,1.49
200,appreciative,2,7.43,1.36,5.73,1.36
201,exhilaration,5,7.43,1.48,7.2,1.48
202,elated,6,7.45,1.77,6.21,1.77
203,sister,1,7.46,1.77,5.43,1.77
204,prosperous,3,7.46,2,6.11,2
205,redeem,5,7.47,1.28,5.43,1.28
206,eat,2,7.47,1.73,5.69,1.73
207,dollar,3,7.47,1.72,6.07,1.72
208,surprised,4,7.47,1.56,7.47,1.56
209,personality,1,7.48,1.5,5.88,1.5
210,delight,6,7.48,1.84,6.68,1.84
211,bright,1,7.5,1.55,5.4,1.55
212,applause,3,7.5,1.5,5.8,1.5
213,like,2,7.52,1.72,6.63,1.72
214,flirt,4,7.52,1.19,6.91,1.19
215,gold,6,7.54,1.63,5.76,1.63
216,cheery,5,7.55,1.49,5.99,1.49
217,superstar,6,7.55,1.68,6.48,1.68
218,holiday,4,7.55,2.14,6.59,2.14
219,puppy,1,7.56,1.9,5.85,1.9
220,talent,2,7.56,1.25,6.27,1.25
221,dog,3,7.57,1.66,5.76,1.66
222,amaze,5,7.57,1.41,6.9,1.41
223,money,3,7.59,1.4,5.7,1.4
224,optimistic,6,7.59,1.32,5.83,1.32
225,magnificence,1,7.59,1.66,6.15,1.66
226,cookie,2,7.6,1.43,5.43,1.43
227,beautiful,5,7.6,1.64,6.17,1.64
228,excite,4,7.6,1.29,7.16,1.29
229,sunshine,5,7.61,1.69,5.56,1.69
230,cheeseburger,1,7.61,1.83,6,1.83
231,ambitious,2,7.62,1.35,6.57,1.35
232,blessings,3,7.63,1.7,5.42,1.7
233,profit,4,7.63,1.3,6.68,1.3
234,tasty,6,7.64,1.46,5.87,1.46
235,birth,1,7.64,1.42,6.82,1.42
236,generosity,3,7.65,1.5,5.72,1.5
237,thoughtful,4,7.65,1.03,5.72,1.03
238,cruiseship,2,7.66,1.45,6.76,1.45
239,concert,6,7.66,1.4,7.32,1.4
240,compassionate,5,7.67,1.5,5.57,1.5
241,giggles,5,7.67,1.45,6.15,1.45
242,enthusiasm,6,7.67,1.52,6.55,1.52
243,satisfaction,2,7.69,1.42,6.83,1.42
244,riches,3,7.7,1.95,6.17,1.95
245,rescue,4,7.7,1.24,6.53,1.24
246,kissing,1,7.71,1.53,7.11,1.53
247,compassion,4,7.73,1.39,5.47,1.39
248,progress,1,7.73,1.34,6.02,1.34
249,car,5,7.73,1.63,6.24,1.63
250,surprise,3,7.73,1.66,7.07,1.66
251,pretty,2,7.75,1.26,6.03,1.26
252,fantastic,6,7.76,1.37,6.35,1.37
253,justice,2,7.78,1.35,5.47,1.35
254,pleased,4,7.79,1.75,5.68,1.75
255,triumph,5,7.8,1.83,5.78,1.83
256,christmas,3,7.8,1.55,6.27,1.55
257,birthday,6,7.84,1.92,6.68,1.92
258,accomplish,1,7.86,1.5,6.39,1.5
259,succeed,6,7.86,1.53,6.43,1.53
260,party,4,7.86,1.83,6.69,1.83
261,smiling,2,7.9,1.5,5.67,1.5
262,diamond,1,7.92,1.2,5.53,1.2
263,fame,5,7.93,1.29,6.55,1.29
264,weekend,3,7.94,1.58,6.85,1.58
265,aroused,3,7.97,1,6.63,1
266,confident,6,7.98,1.29,6.22,1.29
267,celebration,4,7.98,1.31,7.14,1.31
268,diploma,1,8,1.39,5.67,1.39
269,engaged,2,8,1.38,6.77,1.38
270,sexy,5,8.02,1.12,7.36,1.12
271,beach,5,8.03,1.59,5.53,1.59
272,laughing,4,8.03,1.58,6.65,1.58
273,passion,6,8.03,1.27,7.26,1.27
274,sex,1,8.05,1.53,7.36,1.53
275,me,3,8.06,1.29,5.97,1.29
276,giggle,2,8.06,1.08,6.25,1.08
277,joke,2,8.1,1.36,6.74,1.36
278,awesome,6,8.11,1.27,6.71,1.27
279,god,1,8.15,1.27,5.95,1.27
280,smile,4,8.16,1.77,5.93,1.77
281,congratulations,3,8.16,1.13,6.95,1.13
282,complete,5,8.17,1.14,5.75,1.14
283,enjoy,1,8.17,1.29,6.33,1.29
284,enthusiastic,2,8.17,1.23,7.38,1.23
285,cure,3,8.18,1.25,6.57,1.25
286,graduate,5,8.19,1.13,7.25,1.13
287,happy,4,8.21,1.82,6.49,1.82
288,pleasure,6,8.28,0.92,5.74,0.92
289,success,6,8.29,0.93,6.11,0.93
290,victory,3,8.32,1.16,6.63,1.16
291,comedy,4,8.37,0.94,5.85,0.94
292,excellence,1,8.38,0.96,5.54,0.96
293,win,5,8.38,0.92,7.72,0.92
294,affection,2,8.39,0.86,6.21,0.86
295,ecstatic,1,8.41,1.27,7.71,1.27
296,champion,6,8.44,0.9,5.85,0.9
297,award,5,8.44,1.05,7.22,1.05
298,laughter,4,8.45,1.08,6.75,1.08
299,funny,2,8.56,0.85,7,0.85
300,loved,3,8.64,0.71,6.38,0.71
